word_id	yomi	all	all(wiki)	all(gpt)	train	train(wiki)	train(gpt)	val	val(wiki)	val(gpt)	test	test(wiki)	test(gpt)
01_itimi	イチミ	87	87	0	70	70	0	9	9	0	8	8	0
01_itimi	ヒトアジ	30	13	17	23	10	13	3	1	2	4	2	2
02_itimoku	ヒトメ	84	84	0	68	68	0	8	8	0	8	8	0
02_itimoku	イチモク	30	16	14	23	12	11	3	2	1	4	2	2
03_ikken	イッケン	90	90	0	72	72	0	9	9	0	9	9	0
03_ikken	イチゲン	30	10	20	24	8	16	3	1	2	3	1	2
04_itizu	イチズ	74	74	0	60	60	0	7	7	0	7	7	0
04_itizu	イット	30	26	4	22	20	2	4	3	1	4	3	1
05_zyozu	ジョウズ	67	67	0	55	55	0	6	6	0	6	6	0
05_zyozu	カミテ	30	17	13	23	13	10	3	2	1	4	2	2
05_zyozu	ウワテ	30	16	14	23	12	11	3	2	1	4	2	2
06_ninki	ニンキ	90	90	0	72	72	0	9	9	0	9	9	0
06_ninki	ヒトケ	30	6	24	24	5	19	3	1	2	3	0	3
07_sizyo	シジョウ	85	85	0	68	68	0	9	9	0	8	8	0
07_sizyo	イチバ	30	15	15	24	12	12	2	1	1	4	2	2
08_sinzyu	シンジュウ	63	63	0	51	51	0	6	6	0	6	6	0
08_sinzyu	シンチュウ	37	37	0	29	29	0	4	4	0	4	4	0
09_samuke	カンキ	87	87	0	70	70	0	9	9	0	8	8	0
09_samuke	サムケ	30	13	17	23	10	13	3	1	2	4	2	2
10_mokka	モッカ	75	75	0	60	60	0	8	8	0	7	7	0
10_mokka	メシタ	30	25	5	23	20	3	3	2	1	4	3	1
11_sikisi	シキシ	88	88	0	71	71	0	9	9	0	8	8	0
11_sikisi	イロガミ	30	12	18	23	9	14	3	1	2	4	2	2
12_syussyo	シュッショ	64	64	0	52	52	0	6	6	0	6	6	0
12_syussyo	デドコロ	36	36	0	28	28	0	4	4	0	4	4	0
13_hobo	カタガタ	83	83	0	67	67	0	8	8	0	8	8	0
13_hobo	ホウボウ	30	17	13	23	13	10	3	2	1	4	2	2
14_tomeru	トメル	60	60	0	48	48	0	6	6	0	6	6	0
14_tomeru	ヤメル	40	40	0	32	32	0	4	4	0	4	4	0
15_yogoreru	ヨゴレル	85	85	0	68	68	0	9	9	0	8	8	0
15_yogoreru	ケガレル	30	15	15	24	12	12	2	1	1	4	2	2
16_sosei	スジョウ	74	74	0	60	60	0	7	7	0	7	7	0
16_sosei	ソセイ	30	26	4	22	20	2	4	3	1	4	3	1
17_suburi	スブリ	58	58	0	47	47	0	6	6	0	5	5	0
17_suburi	ソブリ	42	42	0	33	33	0	4	4	0	5	5	0
18_odokasu	オビヤカス	90	90	0	72	72	0	9	9	0	9	9	0
18_odokasu	オドカス	30	10	20	24	8	16	3	1	2	3	1	2
19_turai	カライ	55	55	0	44	44	0	6	6	0	5	5	0
19_turai	ツライ	45	45	0	36	36	0	4	4	0	5	5	0
20_hiraku	ヒラク	90	90	0	72	72	0	9	9	0	9	9	0
20_hiraku	アク	30	10	20	24	8	16	3	1	2	3	1	2
21_omote	ヒョウ	79	79	0	64	64	0	8	8	0	7	7	0
21_omote	オモテ	30	21	9	23	16	7	3	2	1	4	3	1
22_kado	カク	52	52	0	43	43	0	5	5	0	4	4	0
22_kado	ツノ	31	31	0	24	24	0	3	3	0	4	4	0
22_kado	カド	30	17	13	23	13	10	3	2	1	4	2	2
24_zyoho	カミガタ	59	59	0	48	48	0	6	6	0	5	5	0
24_zyoho	ジョウホウ	41	41	0	32	32	0	4	4	0	5	5	0
25_kinsei	キンセイ	81	81	0	65	65	0	8	8	0	8	8	0
25_kinsei	キンボシ	30	19	11	23	15	8	3	2	1	4	2	2
26_kana	カナ	70	70	0	56	56	0	7	7	0	7	7	0
26_kana	カメイ	30	30	0	24	24	0	3	3	0	3	3	0
27_hitokoto	ヒトコト	90	90	0	72	72	0	9	9	0	9	9	0
27_hitokoto	イチゴン	30	10	20	24	8	16	3	1	2	3	1	2
28_asiato	アシアト	75	75	0	60	60	0	8	8	0	7	7	0
28_asiato	ソクセキ	30	25	5	23	20	3	3	2	1	4	3	1
29_kyo	コンニチ	79	79	0	64	64	0	8	8	0	7	7	0
29_kyo	キョウ	30	21	9	23	16	7	3	2	1	4	3	1
30_ittan	イッタン	90	90	0	72	72	0	9	9	0	9	9	0
30_ittan	イッパシ	30	5	25	24	4	20	3	1	2	3	0	3
31_oya	タイカ	62	62	0	50	50	0	6	6	0	6	6	0
31_oya	オオヤ	38	38	0	30	30	0	4	4	0	4	4	0
33_ikkaku	イッカク	90	90	0	72	72	0	9	9	0	9	9	0
33_ikkaku	ヒトカド	30	10	20	24	8	16	3	1	2	3	1	2
34_ikko	イッコウ	89	89	0	72	72	0	9	9	0	8	8	0
34_ikko	イチギョウ	30	11	19	23	8	15	3	1	2	4	2	2
35_nemoto	コンポン	90	90	0	72	72	0	9	9	0	9	9	0
35_nemoto	ネモト	30	10	20	24	8	16	3	1	2	3	1	2
36_ozei	オオゼイ	90	90	0	72	72	0	9	9	0	9	9	0
36_ozei	タイセイ	30	10	20	24	8	16	3	1	2	3	1	2
37_hantuki	ハンツキ	56	56	0	45	45	0	6	6	0	5	5	0
37_hantuki	ハンゲツ	44	44	0	35	35	0	4	4	0	5	5	0
38_kuroko	クロコ	74	74	0	60	60	0	7	7	0	7	7	0
38_kuroko	コクシ	30	10	20	24	8	16	3	1	2	3	1	2
38_kuroko	ホクロ	30	16	14	23	12	11	3	2	1	4	2	2
39_husya	フウシャ	88	88	0	71	71	0	9	9	0	8	8	0
39_husya	カザグルマ	30	12	18	23	9	14	3	1	2	4	2	2
40_sesuzi	ハイキン	68	68	0	55	55	0	7	7	0	6	6	0
40_sesuzi	セスジ	32	32	0	25	25	0	3	3	0	4	4	0
41_ikebana	セイカ	81	81	0	65	65	0	8	8	0	8	8	0
41_ikebana	イケバナ	30	19	11	23	15	8	3	2	1	4	2	2
42_tyotto	イッスン	66	66	0	53	53	0	7	7	0	6	6	0
42_tyotto	チョット	34	34	0	27	27	0	3	3	0	4	4	0
44_kenbutu	ケンブツ	90	90	0	72	72	0	9	9	0	9	9	0
44_kenbutu	ミモノ	30	10	20	24	8	16	3	1	2	3	1	2
45_hiku	ヒク	85	85	0	68	68	0	9	9	0	8	8	0
45_hiku	ハジク	30	15	15	24	12	12	2	1	1	4	2	2
46_otomo	オトモ	58	58	0	47	47	0	6	6	0	5	5	0
46_otomo	ゴクウ	42	42	0	33	33	0	4	4	0	5	5	0
47_saimoku	サイモク	80	80	0	64	64	0	8	8	0	8	8	0
47_saimoku	ホソメ	30	20	10	24	16	8	3	2	1	3	2	1
48_tousuu	トウスウ	90	90	0	72	72	0	9	9	0	9	9	0
48_tousuu	アタマカズ	30	10	20	24	8	16	3	1	2	3	1	2
49_kazaana	フウケツ	80	80	0	64	64	0	8	8	0	8	8	0
49_kazaana	カザアナ	30	20	10	24	16	8	3	2	1	3	2	1
50_hisui	ヒスイ	90	90	0	72	72	0	9	9	0	9	9	0
50_hisui	カワセミ	30	9	21	24	7	17	3	1	2	3	1	2
51_saityu	サイチュウ	90	90	0	72	72	0	9	9	0	9	9	0
51_saityu	モナカ	30	10	20	24	8	16	3	1	2	3	1	2
52_hosoboso	ホソボソ	87	87	0	70	70	0	9	9	0	8	8	0
52_hosoboso	コマゴマ	30	13	17	23	10	13	3	1	2	4	2	2
53_monogokoro	モノゴコロ	59	59	0	48	48	0	6	6	0	5	5	0
53_monogokoro	ブッシン	41	41	0	32	32	0	4	4	0	5	5	0
