word_id	yomi	all	all(wiki)	all(gpt)	train	train(wiki)	train(gpt)	val	val(wiki)	val(gpt)	test	test(wiki)	test(gpt)
01_itimi	イチミ	87	87	0	70	70	0	9	9	0	8	8	0
01_itimi	ヒトアジ	13	13	0	10	10	0	1	1	0	2	2	0
02_itimoku	ヒトメ	84	84	0	68	68	0	8	8	0	8	8	0
02_itimoku	イチモク	16	16	0	12	12	0	2	2	0	2	2	0
03_ikken	イッケン	90	90	0	72	72	0	9	9	0	9	9	0
03_ikken	イチゲン	10	10	0	8	8	0	1	1	0	1	1	0
04_itizu	イチズ	74	74	0	60	60	0	7	7	0	7	7	0
04_itizu	イット	26	26	0	20	20	0	3	3	0	3	3	0
05_zyozu	ジョウズ	67	67	0	55	55	0	6	6	0	6	6	0
05_zyozu	カミテ	17	17	0	13	13	0	2	2	0	2	2	0
05_zyozu	ウワテ	16	16	0	12	12	0	2	2	0	2	2	0
06_ninki	ニンキ	90	90	0	72	72	0	9	9	0	9	9	0
06_ninki	ヒトケ	10	6	4	8	5	3	1	1	0	1	0	1
07_sizyo	シジョウ	85	85	0	68	68	0	9	9	0	8	8	0
07_sizyo	イチバ	15	15	0	12	12	0	1	1	0	2	2	0
08_sinzyu	シンジュウ	63	63	0	51	51	0	6	6	0	6	6	0
08_sinzyu	シンチュウ	37	37	0	29	29	0	4	4	0	4	4	0
09_samuke	カンキ	87	87	0	70	70	0	9	9	0	8	8	0
09_samuke	サムケ	13	13	0	10	10	0	1	1	0	2	2	0
10_mokka	モッカ	75	75	0	60	60	0	8	8	0	7	7	0
10_mokka	メシタ	25	25	0	20	20	0	2	2	0	3	3	0
11_sikisi	シキシ	88	88	0	71	71	0	9	9	0	8	8	0
11_sikisi	イロガミ	12	12	0	9	9	0	1	1	0	2	2	0
12_syussyo	シュッショ	64	64	0	52	52	0	6	6	0	6	6	0
12_syussyo	デドコロ	36	36	0	28	28	0	4	4	0	4	4	0
13_hobo	カタガタ	83	83	0	67	67	0	8	8	0	8	8	0
13_hobo	ホウボウ	17	17	0	13	13	0	2	2	0	2	2	0
14_tomeru	トメル	60	60	0	48	48	0	6	6	0	6	6	0
14_tomeru	ヤメル	40	40	0	32	32	0	4	4	0	4	4	0
15_yogoreru	ヨゴレル	85	85	0	68	68	0	9	9	0	8	8	0
15_yogoreru	ケガレル	15	15	0	12	12	0	1	1	0	2	2	0
16_sosei	スジョウ	74	74	0	60	60	0	7	7	0	7	7	0
16_sosei	ソセイ	26	26	0	20	20	0	3	3	0	3	3	0
17_suburi	スブリ	58	58	0	47	47	0	6	6	0	5	5	0
17_suburi	ソブリ	42	42	0	33	33	0	4	4	0	5	5	0
18_odokasu	オビヤカス	90	90	0	72	72	0	9	9	0	9	9	0
18_odokasu	オドカス	10	10	0	8	8	0	1	1	0	1	1	0
19_turai	カライ	55	55	0	44	44	0	6	6	0	5	5	0
19_turai	ツライ	45	45	0	36	36	0	4	4	0	5	5	0
